filename,column,datatype,description
certificates.csv,LMK_KEY,string,Individual lodgement identifier. Guaranteed to be unique and can be used to identify a certificate in the downloads and the API.
certificates.csv,ADDRESS1,string,First line of the address
certificates.csv,ADDRESS2,string,Second line of the address
certificates.csv,ADDRESS3,string,Third line of the address
certificates.csv,POSTCODE,string,The postcode of the property
certificates.csv,BUILDING_REFERENCE_NUMBER,string,Unique identifier for the property.
certificates.csv,CURRENT_ENERGY_RATING,string,Current energy rating converted into a linear 'A to G' rating (where A is the most energy efficient and G is the least energy efficient)
certificates.csv,POTENTIAL_ENERGY_RATING,string,Estimated potential energy rating converted into a linear 'A to G' rating (where A is the most energy efficient and G is the least energy efficient)
certificates.csv,CURRENT_ENERGY_EFFICIENCY,integer,"Based on cost of energy, i.e. energy required for space heating, water heating and lighting [in kWh/year] multiplied by fuel costs. (£/m²/year where cost is derived from kWh)."
certificates.csv,POTENTIAL_ENERGY_EFFICIENCY,integer,The potential energy efficiency rating of the property.
certificates.csv,PROPERTY_TYPE,string,"Describes the type of property such as House, Flat, Maisonette etc. This is the type differentiator for dwellings."
certificates.csv,BUILT_FORM,string,"The building type of the Property e.g. Detached, Semi-Detached, Terrace etc. Together with the Property Type, the Build Form produces a structured description of the property"
certificates.csv,INSPECTION_DATE,date,The date that the inspection was actually carried out by the energy assessor
certificates.csv,LOCAL_AUTHORITY,string,Office for National Statistics (ONS) code. Local authority area in which the building is located.
certificates.csv,CONSTITUENCY,string,Office for National Statistics (ONS) code. Parliamentary constituency in which the building is located.
certificates.csv,COUNTY,string,County in which the building is located (where applicable)
certificates.csv,LODGEMENT_DATE,date,Date lodged on the Energy Performance of Buildings Register
certificates.csv,TRANSACTION_TYPE,string,"Type of transaction that triggered EPC. For example, one of: marketed sale; non-marketed sale; new-dwelling; rental; not sale or rental; assessment for Green Deal; following Green Deal; FIT application; none of the above; RHI application; ECO assessment. Where the reason for the assessment is unknown by the energy assessor the transaction type will be recorded as 'none of the above'. Transaction types may be changed over time."
certificates.csv,ENVIRONMENTAL_IMPACT_CURRENT,integer,The Environmental Impact Rating. A measure of the property's current impact on the environment in terms of carbon dioxide (CO₂) emissions. The higher the rating the lower the CO₂ emissions. (CO₂ emissions in tonnes / year)
certificates.csv,ENVIRONMENTAL_IMPACT_POTENTIAL,integer,The potential Environmental Impact Rating. A measure of the property's potential impact on the environment in terms of carbon dioxide (CO₂) emissions after improvements have been carried out. The higher the rating the lower the CO₂ emissions. (CO₂ emissions in tonnes / year)
certificates.csv,ENERGY_CONSUMPTION_CURRENT,float,Current estimated total energy consumption for the property in a 12 month period (kWh/m2). Displayed on EPC as the current primary energy use per square metre of floor area.
certificates.csv,ENERGY_CONSUMPTION_POTENTIAL,float,Estimated potential total energy consumption for the Property in a 12 month period. Value is Kilowatt Hours per Square Metre (kWh/m²)
certificates.csv,CO2_EMISSIONS_CURRENT,decimal,CO₂ emissions per year in tonnes/year.
certificates.csv,CO2_EMISS_CURR_PER_FLOOR_AREA,decimal,CO₂ emissions per square metre floor area per year in kg/m²
certificates.csv,CO2_EMISSIONS_POTENTIAL,decimal,Estimated value in Tonnes per Year of the total CO₂ emissions produced by the Property in 12 month period.
certificates.csv,LIGHTING_COST_CURRENT,float,GBP. Current estimated annual energy costs for lighting the property.
certificates.csv,LIGHTING_COST_POTENTIAL,float,GBP. Potential estimated annual energy costs for lighting the property after improvements have been made.
certificates.csv,HEATING_COST_CURRENT,float,GBP. Current estimated annual energy costs for heating the property.
certificates.csv,HEATING_COST_POTENTIAL,float,GBP. Potential annual energy costs for lighting the property after improvements have been made.
certificates.csv,HOT_WATER_COST_CURRENT,float,GBP. Current estimated annual energy costs for hot water
certificates.csv,HOT_WATER_COST_POTENTIAL,float,GBP. Potential estimated annual energy costs for hot water after improvements have been made.
certificates.csv,TOTAL_FLOOR_AREA,decimal,"The total useful floor area is the total of all enclosed spaces measured to the internal face of the external walls, i.e. the gross floor area as measured in accordance with the guidance issued from time to time by the Royal Institute of Chartered Surveyors or by a body replacing that institution. (m²)"
certificates.csv,ENERGY_TARIFF,string,"Type of electricity tariff for the property, e.g. single."
certificates.csv,MAINS_GAS_FLAG,string,Whether mains gas is available. Yes means that there is a gas meter or a gas-burning appliance in the dwelling. A closed-off gas pipe does not count.
certificates.csv,FLOOR_LEVEL,string,"Flats and maisonettes only. Floor level relative to the lowest level of the property (0 for ground floor). If there is a basement, the basement is level 0 and the other floors are from 1 upwards"
certificates.csv,FLAT_TOP_STOREY,string,Whether the flat is on the top storey
certificates.csv,FLAT_STOREY_COUNT,decimal,The number of storeys in the apartment block.
certificates.csv,MAIN_HEATING_CONTROLS,string,Type of main heating controls. Includes both main heating systems if there are two.
certificates.csv,MULTI_GLAZE_PROPORTION,float,The estimated banded range (e.g. 0% - 10%) of the total glazed area of the Property that is multiple glazed.
certificates.csv,GLAZED_TYPE,string,"The type of glazing. From British Fenestration Rating Council or manufacturer declaration, one of; single; double; triple."
certificates.csv,GLAZED_AREA,string,Ranged estimate of the total glazed area of the Habitable Area.
certificates.csv,EXTENSION_COUNT,integer,The number of extensions added to the property. Between 0 and 4.
certificates.csv,NUMBER_HABITABLE_ROOMS,float,"Habitable rooms include any living room, sitting room, dining room, bedroom, study and similar; and also a non-separated conservatory. A kitchen/diner having a discrete seating area (with space for a table and four chairs) also counts as a habitable room. A non-separated conservatory adds to the habitable room count if it has an internal quality door between it and the dwelling. Excluded from the room count are any room used solely as a kitchen, utility room, bathroom, cloakroom, en-suite accommodation and similar and any hallway, stairs or landing; and also any room not having a window."
certificates.csv,NUMBER_HEATED_ROOMS,float,The number of heated rooms in the property if more than half of the habitable rooms are not heated.
certificates.csv,LOW_ENERGY_LIGHTING,integer,The percentage of low energy lighting present in the property as a percentage of the total fixed lights in the property. 0% indicates that no low-energy lighting is present.
certificates.csv,NUMBER_OPEN_FIREPLACES,integer,The number of Open Fireplaces in the Property. An Open Fireplace is a fireplace that still allows air to pass between the inside of the Property and the outside.
certificates.csv,HOTWATER_DESCRIPTION,string,Overall description of the property feature
certificates.csv,HOT_WATER_ENERGY_EFF,string,Energy efficiency rating. One of: very good; good; average; poor; very poor. On actual energy certificate shown as one to five star rating.
certificates.csv,HOT_WATER_ENV_EFF,string,Environmental efficiency rating. One of: very good; good; average; poor; very poor. On actual energy certificate shown as one to five star rating.
